instrument_id,ticker,yahoo_symbol,company,sector,subsector,exchange,region,asset_type,primary_source,secondary_source,fred_series_id,source_url_yahoo,source_url_fred,market_timezone,market_close_local,refresh_group,is_active,theme_energy,theme_shipping,theme_china,theme_war,theme_liquidity,notes,source_notes,theme_rates,theme_credit
BX,BX,BX,0,0,1,2,3,,Yahoo Finance,,,https://finance.yahoo.com/quote/BX,,UTC,23:30,GLOBAL_DAILY,True,,,,,,,Yahoo Finance,,
FRO,FRO,FRO,2,3,2,3,1,,Yahoo Finance,,,https://finance.yahoo.com/quote/FRO,,UTC,23:30,GLOBAL_DAILY,True,,,,,,,Yahoo Finance,,
TLT,TLT,TLT,,Bonds,,,US,ETF,Yahoo Finance,,,,,,,,True,False,False,False,False,True,,,True,False
TICKER / CODE,TICKER / CODE,TICKER / CODE,Company / Name,Category,Subcategory,Instrument_Type,Exchange / Source,Region,Yahoo Finance,Exposure,,https://finance.yahoo.com/quote/TICKER / CODE,,America/New_York,16:00,US_EOD,True,Data_Providers,Notes,,,,Role_in_Theme,,,
CMCSA,CMCSA,CMCSA,Comcast,Communication Services,Telecom & Media,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CMCSA,,America/New_York,16:00,US_EOD,True,1.0,1.0,1.0,1.0,1.0,Infraestructura doméstica,Bloomberg; Refinitiv,,
NFLX,NFLX,NFLX,Netflix Inc.,Communication Services,Streaming,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NFLX,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Baja sensibilidad macro física,Bloomberg; Refinitiv,,
TMUS,TMUS,TMUS,T-Mobile US,Communication Services,Telecom,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TMUS,,America/New_York,16:00,US_EOD,True,1.0,1.0,1.0,1.0,1.0,Baja exposición global,Bloomberg; Refinitiv,,
ABNB,ABNB,ABNB,Airbnb,Consumer Discretionary,Travel,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ABNB,,America/New_York,16:00,US_EOD,True,1.0,2.0,2.0,2.0,1.0,Turismo global,Bloomberg; Refinitiv,,
AMZN,AMZN,AMZN,Amazon.com Inc.,Consumer Discretionary,E-commerce & Cloud,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AMZN,,America/New_York,16:00,US_EOD,True,1.0,3.0,2.0,2.0,1.0,Sensible a logística global,Bloomberg; Refinitiv,,
BKNG,BKNG,BKNG,Booking,Consumer Discretionary,Travel,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/BKNG,,America/New_York,16:00,US_EOD,True,1.0,2.0,2.0,2.0,1.0,Movilidad global,Bloomberg; Refinitiv,,
DASH,DASH,DASH,DoorDash,Consumer Discretionary,Delivery,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/DASH,,America/New_York,16:00,US_EOD,True,1.0,1.0,1.0,1.0,1.0,Consumo doméstico,Bloomberg; Refinitiv,,
MAR,MAR,MAR,Marriott,Consumer Discretionary,Hotels,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MAR,,America/New_York,16:00,US_EOD,True,1.0,2.0,2.0,2.0,1.0,Turismo global,Bloomberg; Refinitiv,,
MELI,MELI,MELI,MercadoLibre,Consumer Discretionary,E-commerce,NASDAQ,LATAM,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MELI,,America/New_York,16:00,US_EOD,True,1.0,2.0,1.0,2.0,2.0,LATAM exposure,Bloomberg; Refinitiv,,
ORLY,ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,Auto Parts,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ORLY,,America/New_York,16:00,US_EOD,True,1.0,1.0,1.0,1.0,1.0,Resiliente ciclo,Bloomberg; Refinitiv,,
ROST,ROST,ROST,Ross Stores,Consumer Discretionary,Discount Retail,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ROST,,America/New_York,16:00,US_EOD,True,1.0,1.0,1.0,1.0,1.0,Inflación +,Bloomberg; Refinitiv,,
SBUX,SBUX,SBUX,Starbucks,Consumer Discretionary,Restaurants,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SBUX,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,1.0,1.0,China consumo,Bloomberg; Refinitiv,,
TSLA,TSLA,TSLA,Tesla Inc.,Consumer Discretionary,EV & Energy,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TSLA,,America/New_York,16:00,US_EOD,True,2.0,2.0,3.0,2.0,1.0,Baterías + China exposure,Bloomberg; Refinitiv,,
COST,COST,COST,Costco Wholesale,Consumer Staples,Retail,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/COST,,America/New_York,16:00,US_EOD,True,2.0,2.0,1.0,1.0,1.0,Sensible inflación logística,Bloomberg; Refinitiv,,
PEP,PEP,PEP,PepsiCo Inc.,Consumer Staples,Food & Beverage,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/PEP,,America/New_York,16:00,US_EOD,True,2.0,2.0,1.0,1.0,1.0,Dependencia commodities,Bloomberg; Refinitiv,,
QQQ,QQQ,QQQ,Invesco QQQ ETF,ETF,Tech Index,NASDAQ,USA,ETF,Yahoo Finance,Bloomberg; Refinitiv; Yahoo,,https://finance.yahoo.com/quote/QQQ,,America/New_York,16:00,US_EOD,True,1.0,1.0,2.0,2.0,1.0,Proxy Nasdaq,Bloomberg; Refinitiv; Yahoo,,
SMH,SMH,SMH,VanEck Semiconductor ETF,ETF,Semiconductors,NASDAQ,USA,ETF,Yahoo Finance,Bloomberg; Refinitiv; Yahoo,,https://finance.yahoo.com/quote/SMH,,America/New_York,16:00,US_EOD,True,1.0,1.0,3.0,2.0,1.0,Proxy semis,Bloomberg; Refinitiv; Yahoo,,
AEM,AEM,AEM,Agnico Eagle Mines Limited,Energy,Gold,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AEM,,America/New_York,16:00,US_EOD,True,,,,,,Oro tier-1 jurisdicciones,Bloomberg; Refinitiv,,
ALB,ALB,ALB,Albemarle Corporation,Energy,Lithium / Battery Materials,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ALB,,America/New_York,16:00,US_EOD,True,,,,,,Litio y materiales batería,Bloomberg; Refinitiv,,
BHP,BHP,BHP,BHP Group Limited ADR,Energy,Diversified Mining,NYSE,Australia,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/BHP,,America/New_York,16:00,US_EOD,True,,,,,,"Hierro, cobre, carbón, potasa",Bloomberg; Refinitiv,,
