Ticker,Company,Sector,Subsector,Exchange,Region,asset_type,Data_Providers,Notas,Energy,Shipping,China,War,Liquidity,,
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,USA,Equity,Bloomberg;Refinitiv;Yahoo,Alta dependencia supply chain China,1,2,3,2,1,,
MSFT,Microsoft Corp.,Technology,Software & Cloud,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Alta resiliencia global,0,0,1,1,1,,
NVDA,NVIDIA Corp.,Technology,Semiconductors (AI),NASDAQ,USA,Equity,Bloomberg;Refinitiv,Dependencia TSMC Asia,1,2,3,2,1,,
AMZN,Amazon.com Inc.,Consumer Discretionary,E-commerce & Cloud,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Sensible a logística global,1,3,2,2,1,,
META,Meta Platforms,Technology,Social Media,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Baja exposición física,0,0,1,1,1,,
GOOGL,Alphabet Inc. A,Technology,Ads & Cloud,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Dual class shares,0,0,1,1,1,,
GOOG,Alphabet Inc. C,Technology,Ads & Cloud,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Sin voto,0,0,1,1,1,,
TSLA,Tesla Inc.,Consumer Discretionary,EV & Energy,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Baterías + China exposure,2,2,3,2,1,,
AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Infraestructura crítica,1,1,2,2,1,,
NFLX,Netflix Inc.,Communication Services,Streaming,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Baja sensibilidad macro física,0,0,1,1,1,,
ADBE,Adobe Inc.,Technology,Software,NASDAQ,USA,Equity,Bloomberg;Refinitiv,SaaS puro,0,0,1,1,1,,
COST,Costco Wholesale,Consumer Staples,Retail,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Sensible inflación logística,2,2,1,1,1,,
PEP,PepsiCo Inc.,Consumer Staples,Food & Beverage,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Dependencia commodities,2,2,1,1,1,,
CSCO,Cisco Systems,Technology,Networking,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Infraestructura crítica,1,1,2,2,1,,
QCOM,Qualcomm,Technology,Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Dependencia Asia,1,1,3,2,1,,
AMD,AMD,Technology,Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Fabless model,1,2,3,2,1,,
TXN,Texas Instruments,Technology,Analog Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Menos cíclico,1,1,2,1,1,,
INTU,Intuit,Technology,Financial Software,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo software,0,0,1,1,1,,
AMGN,Amgen,Healthcare,Biotech,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
CMCSA,Comcast,Communication Services,Telecom & Media,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Infraestructura doméstica,1,1,1,1,1,,
INTC,Intel,Technology,Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Fabricación local,1,1,2,2,1,,
TMUS,T-Mobile US,Communication Services,Telecom,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Baja exposición global,1,1,1,1,1,,
ADP,ADP,Industrials,HR Services,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
AMAT,Applied Materials,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Capex chips,1,1,3,2,1,,
ISRG,Intuitive Surgical,Healthcare,Medtech,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
SBUX,Starbucks,Consumer Discretionary,Restaurants,NASDAQ,USA,Equity,Bloomberg;Refinitiv,China consumo,1,1,3,1,1,,
BKNG,Booking,Consumer Discretionary,Travel,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Movilidad global,1,2,2,2,1,,
GILD,Gilead,Healthcare,Biotech,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
MU,Micron,Technology,Memory,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Alta ciclicidad,1,2,3,2,1,,
PANW,Palo Alto,Technology,Cybersecurity,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Beneficia conflictos,0,0,1,3,1,,
LRCX,Lam Research,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Alta exposición Asia,1,1,3,2,1,,
KLAC,KLA,Technology,Semiconductor Equipment,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Similar AMAT,1,1,3,2,1,,
